,Town,Phone number,Fax,Email,Website,Address,Daira,Wilaya
0,Adrar,049 36 74 18,049 96 72 89,www.communeadrar@hotmail.com,communeadrar.dz,"
                                    ADRAR                                
            ",                    adrar                                               ,                    adrar                                            
1,Tamest,049.94.61.61,049.94.61.62,tamesttm@gmail.com,,"
                                    TAMEST                                
            ",                    fenoughil                                               ,                    adrar                                            
2,Charouine,049.90.62.01,049.90.64.07,apccharouine@gmail.com,,"
                                    CHAROUINE                                
            ",                    charouine                                               ,                    adrar                                            
3,Reggane,049.97.00.70,049.97.04.89,communereggane@gmail.com,,"
                                    REGGANE                                
            ",                    reggane                                               ,                    adrar                                            
4,In zghmir,049 97 24 97,049 97 23 87,commune.inzegmir.adrar@gmail.com,,"
                                    TIDMAIN                                
            ",                    zaouiat kounta                                               ,                    adrar                                            
5,Tit,049.97.92.40,049.97.92.40,apc-tit@yahoo.fr,www.commune-tit.site123.com,"
                                    TIT                                
            ",                    aoulef                                               ,                    adrar                                            
6,Ksar kaddour,049.90.49.06,049.90.49.27,apcksarkddour@gmail.com,,"
                                    KSAR KADDOUR                                
            ",                    tinerkouk                                               ,                    adrar                                            
7,Tsabit,049.94.01.93,049.94.04.94,apctsabit0108@yahoo.fr,,"
                                    TSABIT                                
            ",                    tsabit                                               ,                    adrar                                            
8,Timimoun,049.30.02.96,049.90.25.74,apctimimoun@gmail.com,www.apc-timimoun.com,"
                                    TIMIMOUN                                
            ",                    timimoun                                                 ,                    adrar                                            
9,Ouled said,049.91.71.03,049.91.72.72,ouled saidcommune@yahoo.com,,"
                                    OULED SAID                                
            ",                    timimoun                                                 ,                    adrar                                            
10,Zaouiet kounta,049.32.41.06,049.32.41.02,apczaouietkounta0111@gmail.com,,"
                                    ZAOUIET KOUNTA                                
            ",                    zaouiat kounta                                               ,                    adrar                                            
11,Aoulef,049.97.77.55,049.97.77.55,apcaoulef@gmail.com,,"
                                    AOULEF                                
            ",                    aoulef                                               ,                    adrar                                            
12,Timekten,049.98.52.02,049.98.52.02,timokten2010@gmail.com,,"
                                    TIMEKTEN                                
            ",                    aoulef                                               ,                    adrar                                            
13,Tamantit,049.96.11.78,049.96.11.78,apctamentit14@gmail.com,,"
                                    TAMANTIT                                
            ",                    fenoughil                                               ,                    adrar                                            
14,Fenoughil,049 94 12 44,049 96 16 07,apcfghil0115@gmail.com,,"
                                    FENOUGHIL                                
            ",                    fenoughil                                               ,                    adrar                                            
15,Tinerkouk,049.90.91.50,049.90.91.09,apctinerkoukadrar@gmail.com,,"
                                    TINERKOUK                                
            ",                    tinerkouk                                               ,                    adrar                                            
16,Deldoul,049.91.91.10,049.91.91.31,communedeldoul@gmail.com,,"
                                    DELDOUL                                
            ",                    aougrout                                               ,                    adrar                                            
17,Sali,049.97.32.45,049.9732.11,apc.sali0118@gmail.com,www.apcsali-adrar.dz,"
                                    SALI                                
            ",                    reggane                                               ,                    adrar                                            
18,Akabli,049.97.83.83,049.97.83.83,apc.akabli0119@gmail.com ,,"
                                    AKABLI                                
            ",                    aoulef                                               ,                    adrar                                            
19,Metarfa,049.90.46.06,049.91.61.72,apcmetarfa@gmail.com,,"
                                    OULED MAHMOUD                                
            ",                    aougrout                                               ,                    adrar                                            
20,Ouled ahmed timmi,049 35 09 08,049 35 03 06,apc.timmi0121@gmail.com,,"
                                    OULEDBRAHIM                                
            ",                    adrar                                               ,                    adrar                                            
21,Bouda,049 35 31 27 ,049 35 32 80,bouda0122@gmail.com,,"
                                    BOUDA                                
            ",                    adrar                                               ,                    adrar                                            
22,Aougrout,049.90.88.22,049.90.84.06,a.p.c.aougrout@gmail.com,,"
                                    AOUGROUT                                
            ",                    aougrout                                               ,                    adrar                                            
23,Talmine,049.90.17.71,040.88.80.02,kakatalmine@gmail.com,,"
                                    TALMINE                                
            ",                    charouine                                               ,                    adrar                                            
24,Bordj badji mokhtar,049.32.97.47,049.98.91.15,bbmcommune0125@gmail.com,,"
                                    BORDJ BADJI MOKHTAR                                
            ",                    bordj badji mokhtar                                               ,                    adrar                                            
25,Sebaa,049.94.71.03,049.94.71.92,pcsbaa1985@gmail.com,,"
                                    SEBAA                                
            ",                    tsabit                                               ,                    adrar                                            
26,Ouled aissa,049.91.31.01,049.91.31.21,ouled_aissa@yahoo.fr,,"
                                    OULED AISSA                                
            ",                    charouine                                               ,                    adrar                                            
27,Timiaouine,049.98.81.48,049.98.81.47,apctimiaouin@gmail.com,,"
                                    TIMIAOUINE                                
            ",                    bordj badji mokhtar                                               ,                    adrar                                            
28,Chlef,027 77 10 60,027 77 25 37,,,"
                                    Siège de la commune centre vile chlef                                
            ",                    chlef                                               ,                    chleef                                            
29,Tenes,027 76 71 10 / 50,027 76 62 20/70 04,,,"
                                    Rue allal ahmed ténès                                
            ",                    tenes                                               ,                    chleef                                            
30,Benairia,027 46 01 96/02 12,027 46 02 12,benairia0203@gmail.com,,"
                                    Rue elmodjahid ben haydour mohamed N°06                                
            ",                    zeboudja                                               ,                    chleef                                            
31,El karimia,027 70 83 03/29/84 52,027 70 90 40/83 29/84 52,,,"
                                    Rue belboula djilali el karimia                                
            ",                    el karimia                                               ,                    chleef                                            
32,Tadjena,027 42 41 06,027 42 41 08,,,"
                                    Tadjna centre                                
            ",                    abou el hassane                                               ,                    chleef                                            
33,Taougrit,027 42 01 94/88/05 63,027 42 01 94,,,"
                                    Rue chahid louaj mohamed                                
            ",                    taougrit                                               ,                    chleef                                            
34,Beni haoua,027 75 31 78 / 88,027 75 35 51,benihaoua0207@gmail.com,,"
                                    19 rue chahid haddar ahmed                                
            ",                    beni haoua                                               ,                    chleef                                            
35,Sobha,027 71 91 21,027 71 91 01,com0208@wilaya-chlef.dz,,"
                                    Sobha centre                                
            ",                    boukadir                                               ,                    chleef                                            
