,Phone number,Fax,Email,Website,Address,locality,administrative_area_level_2,administrative_area_level_1,country,relation_number
0,049 36 74 18,049 96 72 89,communeadrar@hotmail.com,communeadrar.dz,ADRAR,Adrar,Adrar,Adrar,Algeria,4171602
1,049.94.61.61,049.94.61.62,tamesttm@gmail.com,,TAMEST,Tamest,Fenoughil,Adrar,Algeria,4171622
2,049.90.62.01,049.90.64.07,apccharouine@gmail.com,,CHAROUINE,Charouine,Charouine,Adrar,Algeria,4171610
3,049.97.00.70,049.97.04.89,communereggane@gmail.com,,REGGANE,Reggane,Reggane,Adrar,Algeria,4171617
4,049 97 24 97,049 97 23 87,commune.inzegmir.adrar@gmail.com,,TIDMAIN,In Zghmir,Zaouiat Kounta,Adrar,Algeria,4171611
5,049.97.92.40,049.97.92.40,apc-tit@yahoo.fr,www.commune-tit.site123.com,TIT,Tit,Aoulef,Adrar,Algeria,4171626
6,049.90.49.06,049.90.49.27,apcksarkddour@gmail.com,,KSAR KADDOUR,Ksar Kaddour,Tinerkouk,Adrar,Algeria,4171612
7,049.94.01.93,049.94.04.94,apctsabit0108@yahoo.fr,,TSABIT,Tsabit,Tsabit,Adrar,Algeria,4171627
8,049.30.02.96,049.90.25.74,apctimimoun@gmail.com,www.apc-timimoun.com,TIMIMOUN,Timimoun,Timimoun,Adrar,Algeria,4171624
9,049.91.71.03,049.91.72.72,ouled saidcommune@yahoo.com,,OULED SAID,Ouled Said,Timimoun,Adrar,Algeria,4171616
10,049.32.41.06,049.32.41.02,apczaouietkounta0111@gmail.com,,ZAOUIET KOUNTA,Zaouiet Kounta,Zaouiat Kounta,Adrar,Algeria,4171629
11,049.97.77.55,049.97.77.55,apcaoulef@gmail.com,,AOULEF,Aoulef,Aoulef,Adrar,Algeria,4171605
12,049.98.52.02,049.98.52.02,timokten2010@gmail.com,,TIMEKTEN,Timekten,Aoulef,Adrar,Algeria,4171628
13,049.96.11.78,049.96.11.78,apctamentit14@gmail.com,,TAMANTIT,Tamantit,Fenoughil,Adrar,Algeria,4171621
14,049 94 12 44,049 96 16 07,apcfghil0115@gmail.com,,FENOUGHIL,Fenoughil,Fenoughil,Adrar,Algeria,4171609
15,049.90.91.50,049.90.91.09,apctinerkoukadrar@gmail.com,,TINERKOUK,Tinerkouk,Tinerkouk,Adrar,Algeria,4171625
16,049.91.91.10,049.91.91.31,communedeldoul@gmail.com,,DELDOUL,Deldoul,Aougrout,Adrar,Algeria,4171608
17,049.97.32.45,049.9732.11,apc.sali0118@gmail.com,www.apcsali-adrar.dz,SALI,Sali,Reggane,Adrar,Algeria,4171618
18,049.97.83.83,049.97.83.83,apc.akabli0119@gmail.com ,,AKABLI,Akabli,Aoulef,Adrar,Algeria,4171603
19,049.90.46.06,049.91.61.72,apcmetarfa@gmail.com,,OULED MAHMOUD,Metarfa,Aougrout,Adrar,Algeria,4171613
20,049 35 09 08,049 35 03 06,apc.timmi0121@gmail.com,,OULEDBRAHIM,Ouled Ahmed Timmi,Adrar,Adrar,Algeria,4171614
21,049 35 31 27 ,049 35 32 80,bouda0122@gmail.com,,BOUDA,Bouda,Adrar,Adrar,Algeria,4171607
22,049.90.88.22,049.90.84.06,a.p.c.aougrout@gmail.com,,AOUGROUT,Aougrout,Aougrout,Adrar,Algeria,4171604
23,049.90.17.71,040.88.80.02,kakatalmine@gmail.com,,TALMINE,Talmine,Charouine,Adrar,Algeria,4171620
24,049.32.97.47,049.98.91.15,bbmcommune0125@gmail.com,,BORDJ BADJI MOKHTAR,Bordj Badji Mokhtar,Bordj Badji Mokhtar,Adrar,Algeria,6528163
25,049.94.71.03,049.94.71.92,pcsbaa1985@gmail.com,,SEBAA,Sebaa,Tsabit,Adrar,Algeria,4171619
26,049.91.31.01,049.91.31.21,ouled_aissa@yahoo.fr,,OULED AISSA,Ouled Aissa,Charouine,Adrar,Algeria,4171615
27,049.98.81.48,049.98.81.47,apctimiaouin@gmail.com,,TIMIAOUINE,Timiaouine,Bordj Badji Mokhtar,Adrar,Algeria,4171623
28,027 77 10 60,027 77 25 37,,,Siège de la commune centre vile chlef,Chlef,Chlef,Chlef,Algeria,4295138
29,027 76 71 10 / 50,027 76 62 20/70 04,,,Rue allal ahmed ténès,Tenes,Tenes,Chlef,Algeria,6532382
30,027 46 01 96/02 12,027 46 02 12,benairia0203@gmail.com,,Rue elmodjahid ben haydour mohamed N°06,Benairia,Zeboudja,Chlef,Algeria,5147901
31,027 70 83 03/29/84 52,027 70 90 40/83 29/84 52,,,Rue belboula djilali el karimia,El Karimia,El Karimia,Chlef,Algeria,2785546
32,027 42 41 06,027 42 41 08,,,Tadjna centre,Tadjena,Abou El Hassane,Chlef,Algeria,4833525
33,027 42 01 94/88/05 63,027 42 01 94,,,Rue chahid louaj mohamed,Taougrit,Taougrit,Chlef,Algeria,4813599
34,027 75 31 78 / 88,027 75 35 51,benihaoua0207@gmail.com,,19 rue chahid haddar ahmed,Beni Haoua,Beni Haoua,Chlef,Algeria,6682055
35,027 71 91 21,027 71 91 01,com0208@wilaya-chlef.dz,,Sobha centre,Sobha,Boukadir,Chlef,Algeria,4822051
36,027 44 32 82/48/58/78,027 44 32 58/33 48/33 78,,,Rue belboula kaddour harchoun,Harchoun,El Karimia,Chlef,Algeria,2792071
37,027 72 02 29/00 08/94 02/93 27,027 72 90 80/91 28,apc.ouledfares@yahoo.fr,,Ouled fares centre,Ouled Fares,Ouled Fares,Chlef,Algeria,4826404
38,027 76 00 20/02 00,027 76 07 72,,,"Rue SI elhadi,sidi akkacha centre",Sidi Akkacha,Tenes,Chlef,Algeria,5151277
39,027 74 02 91,027 74 95 56,com0212@wilaya-chlef.dz,,Boukadir centre,Boukadir,Boukadir,Chlef,Algeria,4564555
40,027 44 01 59,027 44 01 02/66,,,Rue belaaradj ali num 08,Beni Rached,Oued Fodda,Chlef,Algeria,5124256
41,027 46 31 06,027 46 3106,apctalassa@gmail.com,,Siège commune cite ben badis talassa,Talassa,Abou El Hassane,Chlef,Algeria,4836837
42,027 42 21 30/70,027 42 21 30/70,,,Rue hassiba benbouali Herenfa centre,Herenfa,Ain Merane,Chlef,Algeria,4830347
43,027 75 81 23,027 75 81 50,,,Oued goussine centre,Oued Goussine,Beni Haoua,Chlef,Algeria,5139279
44,027 42 61 03/88/56,027 42 61 88/03,dahra0217@gmail.com,,Rue 01 novembre 1954,Dahra,Taougrit,Chlef,Algeria,4813363
45,027 44 21 04,027 44 26 53/21 28,,,Rue larbi soudani,Ouled Abbes,Oued Fodda,Chlef,Algeria,4295685
46,027 70 08 50/99,027 70 08 50/99,com0219@wilaya-chlef.dz,,Sendjas centre,Sendjas,Chlef,Chlef,Algeria,2799177
47,027 75 20 81/22 92/24 80,027 75 20 61/22 92,,,Rue benazzmia el hadj dit meliani N24,Zeboudja,Zeboudja,Chlef,Algeria,5126947
48,027 71 00 49,027 71 08 90/09 00,com0221@wilaya-chlef.dz,,Oued sly centre,Oued Sly,Boukadir,Chlef,Algeria,4546198
49,027 75 54 01,027 75 54 82,,,Abou el hassen centre,Abou El Hassen,Abou El Hassen,Chlef,Algeria,4844288
50,027 75 61 35,027 75 61 33,marsa-new@gmail.com,,Hay kharbouche lakhal rue 01 nov 1954,El Marsa,El Marsa,Chlef,Algeria,4813524
51,027 73 16 00/ 77 62 24,027 73 16 00,apc_chettia@hotmail.com,,APC chettia zone 05 chettia chlef,Chettia,Ouled Fares,Chlef,Algeria,4542228
52,027 46 51 55,027 46 51 59 / 26,,,Cité rekkab mohammed,Sidi Abderrahmane,Tenes,Chlef,Algeria,4843814
53,027 46 21 17,027 46 22 60,apc0226@gmail.com,,Rue yahi maamar Moussadek chlef,Moussadek,El Marsa,Chlef,Algeria,4832928
54,027 49 21 01,027 49 21 16/22 61,,,El hadjadj centre rue hassiba ben bouali N°51,El Hadjadj,Ouled Ben Abdelkader,Chlef,Algeria,2801336
55,027 49 31 05/33 28,027 49 33 28/31 05,,,APC labiodh-madjadja centre,Labiod Medjadja,Ouled Fares,Chlef,Algeria,5126924
56,027 44 62 95,027 44 77 14/70 71,,,Rue 1 er novembre,Oued Fodda,Oued Fodda,Chlef,Algeria,2789469
57,027 42 31 04,027 42 34 05,apcobaek@yahoo.fr,,Hay abdelhamid ben badis ouled ben abdelkader centre wilaya de chlef,Ouled Ben Abdelkader,Ouled Ben Abdelkader,Chlef,Algeria,2803637
58,027 71 50 04,027 71 58 58/50 61,apcbouzghaia0231@gmail.com ,,Bouzghaia centre,Bouzeghaia,Zeboudja,Chlef,Algeria,5147952
59,027 42 94 00/90 96,027 42 94 00/90 96,rabelais0232@gmail.com,,Quartier sehil larbi Ain merane centre,Ain Merane,Ain Merane,Chlef,Algeria,4821631
60,027 71 80 25,027 71 83 66/80 94,,,Siège apc,Oum Drou,Chlef,Chlef,Algeria,4295551
61,027 46 61 02/18/20,027 46 61 02/18/20,,,Breira centre,Breira,Beni Haoua,Chlef,Algeria,5130868
62,027 44 51 04/56,027 44 51 10,,,Beni bouatteb centre,Beni  Bouattab,El Karimia,Chlef,Algeria,2785325
63,029 10 17 47,029 10 16 35,,,BVR independance dist 01,Laghouat,Laghouat,Laghouat,Algeria,6546026
64,029 93 96 56,029 93 96 56,,,cite djenidi lakhdar n 02,Ksar El Hirane,Ksar El Hirane,Laghouat,Algeria,6546025
65,029 14 32 30,029 14 32 30,,,cite merizgui abdelkader,Bennasser Benchohra,Ksar El Hirane,Laghouat,Algeria,6546015
66,029 14 12 48,029 14 12 37 / 029 14 12 48,communesidimakhlouf@gmail.com,,boulevard brichi belaide,Sidi Makhlouf,Sidi Makhlouf,Laghouat,Algeria,6546031
