wilaya,OSM_num,Code,dairas_num,municipalities_num,area,population_2008,pop_density
Adrar,1258650,1,11,28,439700,399714,0.94
Chlef,1283740,2,13,35,4795,1002088,209
Laghouat,1280081,3,10,24,25057,455602,18
Oum El Bouaghi,1278749,4,12,29,7638,621612,81
Batna,1278748,5,21,61,12192,1119791,92
Béjaïa,1278765,6,19,52,3268,912577,279
Biskra,1280072,7,12,33,20986,721356,34
Béchar,1258647,8,12,21,162200,270061,1.7
Blida,1283683,9,10,25,1575,1002937,591
Bouira,1283093,10,12,45,4439,695583,157
Tamanrasset,1279667,11,7,10,556185,176637,0.32
Tébessa,1280465,12,12,28,14227,648703,46
Tlemcen,1280702,13,20,53,9061,949135,105
Tiaret,1281404,14,14,42,20673,846823,41
Tizi Ouzou,1283601,15,21,67,2956,1127608,316
Alger,157062,16,13,57,1190,2988145,2511
Djelfa,1280073,17,12,36,66415,1092184,46
Jijel,1278746,18,11,28,2577,636948,247
Sétif,1278747,19,20,60,6504,1489979,229
Saïda,1281260,20,6,16,6764,330641,49
Skikda,1273552,21,13,38,4026,898680,223
Sidi Bel Abbès,1259189,22,15,52,9096,604744,66
Annaba,1455599,23,6,12,1439,609499,424
Guelma,1273369,24,10,34,4101,482430,118
Constantine,1273368,25,6,12,2187,938475,427
Médéa,1282111,26,19,64,8866,819932,92
Mostaganem,1259191,27,10,32,2175,737118,325
M'Sila,1278767,28,15,47,18718,990591,53
Mascara,1259190,29,16,47,5941,784073,132
Ouargla,1279811,30,10,21,211980,558558,2.6
Oran,1259562,31,9,26,2121,1454078,688
El Bayadh,1258649,32,8,22,78870,228624,3.2
Illizi,1279816,33,3,6,285000,52333,0.18
Bordj Bou Arreridj,1278766,34,10,34,4115,628475,160
Boumerdès,1283608,35,9,32,1356,802083,504
El Tarf,1455600,36,7,24,3339,408414,122
Tindouf,1258651,37,1,2,159000,49149,0.31
Tissemsilt,1282090,38,8,22,3152,294476,93
El Oued,1280071,39,12,30,54573,647548,12
Khenchela,1280466,40,8,21,9811,386683,40
Souk Ahras,1283457,41,10,26,4541,438127,95
Tipaza,1286213,42,10,28,1605,591010,273
Mila,1273544,43,13,32,3407,766886,220
Aïn Defla,1283678,44,14,36,4891,766013,156
Naâma,1258648,45,7,12,29950,192891,6.5
Aïn Témouchent,1259188,46,8,28,2379,371239,156
Ghardaïa,1279666,47,9,13,86105,363598,4.2
Relizane,1282091,48,13,38,4870,726180,152
El M'Ghair,6825874,49,2,8,8835,162267,18.36
El Meniaa,6825901,50,2,4,62215,57276,0.92
Ouled Djellal,10489092,51,2,6,11410,174219,15.26
Bordj Badji Mokhtar,6528163,52,1,2,120026,16437,0.13
Béni Abbès,6824843,53,6,10,101350,50163,0.49
Timimoun,6528164,54,4,10,65203,122019,1.87
Touggourt,6822397,55,4,11,17428,247221,14.18
Djanet,6825876,56,1,2,86185,17618,0.2
In Salah,6824900,57,2,3,131220,50392,0.38
In Guezzam,6825881,58,2,2,88126,11202,0.12
